Hour Ending (HE),Total Load (MWh)
1,9597.49
2,9247.4
3,9328.07
4,9610.3
5,9609.33
6,10292.85
7,11357.37
8,11965.21
9,11533.61
10,10840.26
11,10272.44
12,9956.87
13,9972.27
14,9795.97
15,10159.92
16,10517.93
17,10959.33
18,11604.77
19,12222.54
20,12654.9
21,12499.84
22,11811.4
23,10943.19
24,10097.54
