Hour Ending (HE),Total Load (MWh)
1,9436.47
2,9284.41
3,9455.2
4,9403.81
5,9394.92
6,9582.68
7,9886.44
8,10309.43
9,10578.48
10,10944.54
11,10787.55
12,10580.44
13,10721.98
14,10891.61
15,11132.38
16,11294.61
17,11728.72
18,12356.48
19,12667.66
20,12855.08
21,12583.15
22,11799.27
23,11059.11
24,10491.81
