Hour Ending (HE),Total Load (MWh)
1,9951.42
2,9713.3
3,10001.8
4,9895.81
5,10049.25
6,10589.6
7,11401.07
8,12031.42
9,11970.04
10,11413.08
11,10708.28
12,10479.32
13,10615.36
14,10498.23
15,10654.85
16,10842.17
17,11219.69
18,12043.1
19,12623.87
20,13035.7
21,12934.33
22,12159.5
23,11145.95
24,10242.41
