Hour Ending (HE),Total Load (MWh)
1,10146.53
2,10200.37
3,10236.09
4,10226.74
5,10285.82
6,10786.91
7,11490.56
8,12219.47
9,12602.02
10,12859.96
11,13065.88
12,13182.01
13,13199.34
14,13057.56
15,12909.78
16,13007.31
17,13296.67
18,13714.57
19,13856.72
20,13895.28
21,13545.84
22,12753.38
23,11790.25
24,10927.27
