Hour Ending (HE),Total Load (MWh)
HE,MWh
1,10464.47
2,10098.82
3,10175.66
4,9973.45
5,10210.52
6,10733.14
7,11853.34
8,12449.2
9,12161.05
10,11904.18
11,11711.94
12,11436.5
13,11295.64
14,10943.96
15,11011.21
16,10910.3
17,11352.46
18,12156.28
19,12836.01
20,13171.54
21,13027.58
22,12243.82
23,11245.67
24,10331.64
