Hour Ending (HE),Total Load (MWh)
1,9492.26
2,9121.48
3,8908.59
4,8842.48
5,8903.19
7,9884.94
8,10241.77
9,10429.14
10,10113.33
11,9573.13
12,9235.48
13,8944.35
14,9037.49
15,9364.68
16,9526.14
17,10077.46
18,11038.71
19,11780.5
20,12176.92
21,12080.86
22,11469.34
23,10673.12
24,9915.96
