Time,T1,T2,Q1,Q2
370.01,42.748,25.088,60.0,0.0
372.01,42.813,25.088,60.0,0.0
374.01,42.813,25.281,60.0,0.0
377.01,43.135,25.41,60.0,0.0
380.01,43.135,25.41,60.0,0.0
383.01,43.36,25.475,60.0,0.0
385.0,43.457,25.668,60.0,0.0
387.01,43.457,25.732,60.0,0.0
389.01,43.715,25.732,60.0,0.0
392.0,43.779,25.732,60.0,0.0
394.0,43.779,25.765,60.0,0.0
397.0,43.812,26.055,60.0,0.0
399.01,44.037,26.055,60.0,0.0
401.01,44.102,26.055,60.0,0.0
403.0,44.23,26.055,60.0,0.0
405.01,44.263,26.055,60.0,0.0
407.0,44.295,26.345,60.0,0.0
409.01,44.424,26.377,60.0,0.0
412.01,44.424,26.377,60.0,0.0
415.0,44.649,26.377,60.0,0.0
417.0,44.746,26.57,60.0,0.0
419.01,44.746,26.57,60.0,0.0
422.01,44.778,26.699,60.0,0.0
425.01,45.036,26.731,60.0,0.0
428.01,45.068,26.731,60.0,0.0
431.0,45.068,26.957,60.0,0.0
434.01,45.326,27.021,60.0,0.0
437.01,45.391,27.021,60.0,0.0
439.01,45.455,27.021,60.0,0.0
441.0,45.616,27.118,60.0,0.0
444.01,45.713,27.279,60.0,0.0
447.0,45.713,27.344,60.0,0.0
449.01,45.713,27.344,60.0,0.0
451.01,45.713,27.344,60.0,0.0
453.01,45.971,27.344,60.0,0.0
456.0,46.003,27.408,60.0,0.0
458.02,46.035,27.569,60.0,0.0
460.01,46.1,27.666,60.0,0.0
462.01,46.164,27.634,60.0,0.0
464.0,46.357,27.666,60.0,0.0
466.01,46.357,27.666,60.0,0.0
468.01,46.357,27.73,60.0,0.0
471.0,46.422,27.892,60.0,0.0
473.0,46.551,27.988,60.0,0.0
475.01,46.647,27.988,60.0,0.0
478.01,46.647,27.988,60.0,0.0
481.01,46.68,27.988,60.0,0.0
484.01,46.68,28.053,60.0,0.0
486.0,46.712,28.182,60.0,0.0
488.01,46.712,28.246,60.0,0.0
490.0,46.841,28.311,60.0,0.0
492.0,46.905,28.311,60.0,0.0
494.0,46.938,28.311,60.0,0.0
496.01,47.002,28.311,60.0,0.0
498.01,47.002,28.375,60.0,0.0
500.01,47.002,28.472,60.0,0.0
503.0,47.002,28.601,60.0,0.0
505.0,47.034,28.601,60.0,0.0
507.01,47.099,28.633,60.0,0.0
509.0,47.163,28.633,60.0,0.0
512.02,47.26,28.633,60.0,0.0
515.0,47.324,28.729,60.0,0.0
517.01,47.324,28.891,60.0,0.0
519.0,47.324,28.955,60.0,0.0
521.01,47.324,28.955,60.0,0.0
523.01,47.582,28.955,60.0,0.0
525.01,47.614,28.955,60.0,0.0
527.01,47.646,28.955,60.0,0.0
529.01,47.646,29.02,60.0,0.0
531.01,47.646,28.955,60.0,0.0
534.01,47.679,29.148,60.0,0.0
536.01,47.646,29.213,60.0,0.0
538.0,47.872,29.245,60.0,0.0
541.01,47.969,29.277,60.0,0.0
544.0,47.969,29.277,60.0,0.0
546.01,47.937,29.277,60.0,0.0
548.0,47.872,29.277,60.0,0.0
550.0,47.937,29.277,60.0,0.0
552.01,47.969,29.277,60.0,0.0
554.01,47.969,29.277,60.0,0.0
556.01,48.162,29.406,60.0,0.0
558.0,48.13,29.503,60.0,0.0
560.0,48.033,29.535,60.0,0.0
563.01,48.291,29.6,60.0,0.0
565.0,48.291,29.6,60.0,0.0
567.01,48.291,29.6,60.0,0.0
569.01,48.259,29.6,60.0,0.0
572.0,48.291,29.6,60.0,0.0
575.02,48.291,29.696,60.0,0.0
578.01,48.291,29.825,60.0,0.0
581.0,48.517,29.922,60.0,0.0
584.0,48.581,29.922,60.0,0.0
587.01,48.613,29.922,60.0,0.0
589.0,48.581,29.922,60.0,0.0
591.0,48.613,29.922,60.0,0.0
593.01,48.613,29.954,60.0,0.0
596.01,48.549,30.051,60.0,0.0
598.01,48.613,30.083,60.0,0.0
601.01,48.646,30.18,60.0,0.0
604.01,48.71,30.244,60.0,0.0
607.0,48.774,30.244,60.0,0.0
610.0,48.936,30.244,60.0,0.0
613.01,48.936,30.244,60.0,0.0
615.01,49.032,30.244,60.0,0.0
617.01,48.968,30.244,60.0,0.0
620.01,48.936,30.244,60.0,0.0
623.01,48.968,30.276,60.0,0.0
625.01,49.129,30.373,60.0,0.0
627.0,49.258,30.405,60.0,0.0
630.01,49.258,30.502,60.0,0.0
632.01,49.193,30.47,60.0,0.0
634.01,49.258,30.566,60.0,0.0
636.01,49.258,30.566,60.0,0.0
639.01,49.258,30.566,60.0,0.0
642.01,49.419,30.566,60.0,0.0
645.0,49.483,30.566,60.0,0.0
648.01,49.322,30.599,60.0,0.0
650.01,49.58,30.566,60.0,0.0
653.01,49.58,30.695,60.0,0.0
655.0,49.58,30.663,60.0,0.0
657.0,49.58,30.631,60.0,0.0
660.0,49.612,30.856,60.0,0.0
662.01,49.677,30.889,60.0,0.0
664.01,49.58,30.856,60.0,0.0
667.01,49.58,30.856,60.0,0.0
670.01,49.677,30.889,60.0,0.0
673.01,49.773,30.889,60.0,0.0
676.01,49.741,30.889,60.0,0.0
